"row ID","Age","Employment class","Fnlwgt","Education level","Education years","Marital status","Occupation","Relationship status","Race","Sex","Capital gain","Capital loss","Work hours per week","Native country","Salary","Prediction (Salary)"
"3",72,"Private",74141,"9th",5,"Married-civ-spouse","Exec-managerial","Wife","Asian-Pac-Islander","Female",0,0,48,"United-States",,"<=50K"
"4",39,"Private",192337,"Bachelors",13,"Separated","Sales","Not-in-family","White","Male",0,0,50,"United-States",,">50K"
"13",27,"Local-gov",113545,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States",,"<=50K"
"14",30,"Private",212237,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1740,45,"United-States",,">50K"
"17",57,"Federal-gov",370890,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Male",0,2258,40,"United-States",,"<=50K"
"19",23,"Private",193089,"11th",7,"Never-married","Craft-repair","Own-child","White","Male",0,0,40,"United-States",,"<=50K"
"30",32,"Private",211699,"Assoc-acdm",12,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,1485,40,"United-States",,">50K"
"38",49,"State-gov",213307,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",,">50K"
"40",23,"Private",194102,"Bachelors",13,"Never-married","Exec-managerial","Unmarried","White","Male",0,0,40,"United-States",,"<=50K"
"49",24,"Private",99386,"Bachelors",13,"Married-spouse-absent","Prof-specialty","Own-child","White","Female",0,0,40,"United-States",,"<=50K"
"52",18,"Private",283342,"11th",7,"Never-married","Other-service","Other-relative","Black","Male",0,0,20,"United-States",,"<=50K"
"55",30,"Local-gov",261319,"7th-8th",4,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"United-States",,"<=50K"
"60",47,"Private",85129,"HS-grad",9,"Divorced","Other-service","Not-in-family","Asian-Pac-Islander","Female",0,0,40,"United-States",,"<=50K"
"64",60,"Private",156889,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States",,"<=50K"
"68",37,"Private",86150,"Bachelors",13,"Married-civ-spouse","Other-service","Wife","Asian-Pac-Islander","Female",0,0,30,"United-States",,"<=50K"
"71",35,"Private",103605,"11th",7,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,"United-States",,"<=50K"
"86",51,"Self-emp-inc",208302,"Assoc-acdm",12,"Married-civ-spouse","Sales","Husband","White","Male",0,0,38,"United-States",,"<=50K"
"98",52,"Private",266529,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"United-States",,">50K"
"101",52,"Private",150930,"Assoc-voc",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",,"<=50K"
"103",43,"Self-emp-inc",172826,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",99999,0,55,"United-States",,">50K"
"108",58,"Local-gov",160586,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,"United-States",,"<=50K"
"112",45,"Private",26522,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,1902,35,"United-States",,">50K"
"113",57,"Private",103809,"HS-grad",9,"Never-married","Sales","Unmarried","White","Female",0,0,40,"United-States",,"<=50K"
"114",25,"Private",90291,"Bachelors",13,"Never-married","Exec-managerial","Own-child","White","Male",0,0,40,"United-States",,"<=50K"
"116",37,"Private",35330,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,1669,55,"United-States",,"<=50K"
"117",45,"Local-gov",135776,"Masters",14,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,30,"United-States",,"<=50K"
"122",23,"Private",199070,"HS-grad",9,"Never-married","Protective-serv","Own-child","Black","Male",0,0,16,"United-States",,"<=50K"
"143",52,"Private",54933,"Masters",14,"Divorced","Prof-specialty","Own-child","White","Female",0,0,40,"United-States",,"<=50K"
"144",34,"Private",209317,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"Puerto-Rico",,"<=50K"
"145",25,"Self-emp-not-inc",282631,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",,"<=50K"
"160",41,"Private",220132,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",7298,0,40,"United-States",,">50K"
"162",17,"Private",195262,"11th",7,"Never-married","Craft-repair","Own-child","White","Male",0,0,17,"United-States",,"<=50K"
"165",22,"Private",100587,"Some-college",10,"Never-married","Other-service","Own-child","Black","Female",0,0,15,"United-States",,"<=50K"
"167",45,"Private",242391,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",,">50K"
"184",63,"Self-emp-inc",54052,"Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",0,0,68,"United-States",,">50K"
"188",29,"Private",54131,"Some-college",10,"Never-married","Sales","Not-in-family","White","Male",0,0,30,"United-States",,"<=50K"
"189",74,"Federal-gov",39890,"Some-college",10,"Widowed","Transport-moving","Not-in-family","White","Female",0,0,18,"United-States",,"<=50K"
"190",50,"Private",156877,"11th",7,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,70,"United-States",,"<=50K"
"194",32,"Private",157287,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",,">50K"
"196",49,"Private",214169,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",,">50K"
"197",25,"Private",192149,"Bachelors",13,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States",,"<=50K"
"200",65,"Private",90377,"Assoc-voc",11,"Married-civ-spouse","Farming-fishing","Husband","White","Male",6767,0,60,"United-States",,"<=50K"
"202",55,"Private",227158,"Bachelors",13,"Widowed","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States",,"<=50K"
"204",31,"Private",165148,"HS-grad",9,"Separated","Exec-managerial","Unmarried","White","Female",0,0,12,"United-States",,"<=50K"
"211",27,"Private",158156,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Female",0,0,42,"United-States",,"<=50K"
"214",64,"Self-emp-not-inc",177825,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Male",1055,0,40,"United-States",,"<=50K"
"217",45,"Private",142287,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",,">50K"
"218",34,"Private",221324,"HS-grad",9,"Never-married","Machine-op-inspct","Unmarried","Black","Female",0,0,40,"United-States",,"<=50K"
"219",53,"Private",227602,"HS-grad",9,"Divorced","Sales","Not-in-family","White","Female",0,0,37,"Mexico",,"<=50K"
"225",23,"State-gov",235853,"Bachelors",13,"Never-married","Tech-support","Not-in-family","White","Male",0,0,22,"United-States",,"<=50K"
"227",32,"Local-gov",222900,"Bachelors",13,"Separated","Prof-specialty","Not-in-family","White","Female",0,0,50,"United-States",,"<=50K"
"231",36,"Private",127306,"Bachelors",13,"Never-married","Exec-managerial","Own-child","White","Female",0,0,40,"United-States",,"<=50K"
"237",37,"State-gov",160402,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,55,"United-States",,">50K"
"242",51,"Private",204322,"Assoc-voc",11,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States",,"<=50K"
"248",20,"Private",236769,"Some-college",10,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States",,"<=50K"
"250",39,"Private",34028,"Bachelors",13,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,48,"United-States",,"<=50K"
"251",45,"State-gov",207847,"Some-college",10,"Never-married","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States",,"<=50K"
"278",17,"Private",329783,"10th",6,"Never-married","Sales","Other-relative","White","Female",0,0,10,"United-States",,"<=50K"
"284",29,"Private",40083,"Doctorate",16,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,40,"Canada",,"<=50K"
"286",41,"Private",116379,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,0,55,"Taiwan",,">50K"
"297",31,"Private",118901,"Bachelors",13,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,45,"United-States",,"<=50K"
"298",41,"Self-emp-not-inc",129865,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,60,"United-States",,"<=50K"
"299",25,"Private",157900,"Some-college",10,"Separated","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States",,"<=50K"
"301",45,"Private",158685,"HS-grad",9,"Separated","Sales","Not-in-family","White","Female",0,0,40,"United-States",,"<=50K"
"303",90,"Private",52386,"Some-college",10,"Never-married","Other-service","Not-in-family","Asian-Pac-Islander","Male",0,0,35,"United-States",,"<=50K"
"305",30,"Private",190385,"Bachelors",13,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,40,"United-States",,"<=50K"
"306",42,"Private",37869,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",,"<=50K"
"308",53,"Private",149784,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",7688,0,40,"United-States",,">50K"
"309",64,"State-gov",201293,"HS-grad",9,"Widowed","Adm-clerical","Not-in-family","White","Female",0,0,38,"United-States",,"<=50K"
"315",58,"Private",131608,"Some-college",10,"Widowed","Craft-repair","Not-in-family","White","Male",0,0,40,"United-States",,"<=50K"
"325",39,"Private",77146,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1887,50,"United-States",,">50K"
"332",23,"Self-emp-not-inc",282604,"11th",7,"Married-civ-spouse","Transport-moving","Husband","White","Male",7688,0,60,"United-States",,">50K"
"334",51,"Private",191659,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1887,65,"United-States",,">50K"
"336",41,"Private",160837,"11th",7,"Married-spouse-absent","Machine-op-inspct","Not-in-family","White","Male",0,0,40,"Guatemala",,"<=50K"
"338",23,"Private",176178,"HS-grad",9,"Never-married","Tech-support","Own-child","White","Female",0,0,40,"United-States",,"<=50K"
"342",23,"Self-emp-not-inc",519627,"HS-grad",9,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,25,"Mexico",,"<=50K"
"343",21,"Private",191460,"11th",7,"Never-married","Other-service","Unmarried","Black","Female",0,0,40,"United-States",,"<=50K"
"345",29,"Private",214858,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",,">50K"
"347",18,"Private",675421,"9th",5,"Never-married","Handlers-cleaners","Own-child","White","Male",594,0,40,"United-States",,"<=50K"
"348",62,"Self-emp-not-inc",134768,"12th",8,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",,"<=50K"
"355",28,"Private",111900,"Assoc-acdm",12,"Married-civ-spouse","Sales","Husband","White","Male",0,0,30,"United-States",,"<=50K"
"361",26,"Private",256000,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",99999,0,60,"United-States",,">50K"
"362",36,"Private",183892,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",7298,0,44,"United-States",,">50K"
"365",47,"Private",184945,"Some-college",10,"Separated","Other-service","Not-in-family","Black","Female",0,0,35,"United-States",,"<=50K"
"366",33,"Private",107248,"Assoc-voc",11,"Never-married","Adm-clerical","Not-in-family","White","Male",0,0,45,"United-States",,"<=50K"
"369",37,"Private",758700,"9th",5,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",3781,0,50,"Mexico",,"<=50K"
"373",57,"Private",205708,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"Poland",,"<=50K"
"378",25,"Private",212302,"Some-college",10,"Separated","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States",,"<=50K"
"379",42,"Private",83411,"Some-college",10,"Divorced","Exec-managerial","Not-in-family","White","Male",0,1408,40,"United-States",,"<=50K"
"381",17,"Private",317681,"11th",7,"Never-married","Craft-repair","Own-child","White","Male",0,0,10,"United-States",,"<=50K"
"386",33,"Self-emp-not-inc",312055,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,45,"United-States",,"<=50K"
"395",25,"Private",302465,"12th",8,"Never-married","Machine-op-inspct","Not-in-family","White","Male",0,1741,40,"United-States",,"<=50K"
"398",19,"Private",55284,"HS-grad",9,"Never-married","Sales","Own-child","White","Female",0,0,35,"United-States",,"<=50K"
"409",27,"Private",387776,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,40,"United-States",,"<=50K"
"410",51,"Private",41474,"10th",6,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"Mexico",,"<=50K"
"414",44,"Private",326232,"Bachelors",13,"Divorced","Exec-managerial","Unmarried","White","Male",0,2547,50,"United-States",,">50K"
"416",55,"Self-emp-not-inc",59469,"9th",5,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,25,"United-States",,"<=50K"
"425",34,"Private",160449,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,44,"United-States",,">50K"
"429",36,"Self-emp-not-inc",295127,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,84,"United-States",,"<=50K"
"431",61,"Self-emp-not-inc",244087,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,52,"United-States",,"<=50K"
"433",42,"State-gov",293791,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",,">50K"
"434",26,"Private",44308,"Bachelors",13,"Never-married","Tech-support","Not-in-family","White","Male",0,0,40,"United-States",,"<=50K"
"438",20,"Private",100188,"Some-college",10,"Never-married","Tech-support","Own-child","White","Female",0,0,24,"United-States",,"<=50K"
"441",61,"Private",355645,"9th",5,"Married-civ-spouse","Machine-op-inspct","Husband","Black","Male",0,0,20,"Trinadad&Tobago",,"<=50K"
"445",31,"Private",100997,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","Amer-Indian-Eskimo","Male",0,0,40,"United-States",,"<=50K"
"446",35,"Private",63921,"5th-6th",3,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"Mexico",,"<=50K"
"452",20,"Private",171398,"10th",6,"Never-married","Sales","Not-in-family","Other","Male",0,0,40,"United-States",,"<=50K"
"463",46,"Private",174224,"Assoc-voc",11,"Divorced","Protective-serv","Not-in-family","Black","Male",0,0,40,"United-States",,"<=50K"
"467",46,"Private",62793,"HS-grad",9,"Divorced","Sales","Other-relative","White","Female",0,0,40,"United-States",,"<=50K"
"470",50,"Federal-gov",20179,"Masters",14,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"United-States",,">50K"
"481",44,"Self-emp-inc",153132,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",7688,0,52,"United-States",,">50K"
"482",18,"Private",230875,"11th",7,"Never-married","Adm-clerical","Not-in-family","White","Male",0,0,40,"United-States",,"<=50K"
"484",40,"Private",185145,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",,">50K"
"493",18,"Private",415520,"11th",7,"Never-married","Craft-repair","Own-child","White","Male",0,0,20,"United-States",,"<=50K"
"497",32,"Private",158438,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"United-States",,">50K"
"501",31,"Self-emp-not-inc",161745,"Bachelors",13,"Married-spouse-absent","Exec-managerial","Not-in-family","White","Male",0,1980,60,"United-States",,"<=50K"
"507",59,"Self-emp-not-inc",104216,"Prof-school",15,"Married-civ-spouse","Sales","Husband","White","Male",0,0,25,"United-States",,">50K"
"509",31,"Private",133770,"Assoc-acdm",12,"Married-civ-spouse","Craft-repair","Not-in-family","Asian-Pac-Islander","Male",0,0,50,"United-States",,"<=50K"
"511",70,"Private",262345,"Some-college",10,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,6,"United-States",,"<=50K"
"514",29,"Private",490332,"Some-college",10,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,45,"United-States",,">50K"
"519",35,"Private",174597,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",,"<=50K"
"523",52,"Private",198824,"Assoc-voc",11,"Separated","Other-service","Unmarried","White","Female",0,0,35,"United-States",,"<=50K"
"526",41,"Local-gov",90692,"HS-grad",9,"Divorced","Prof-specialty","Unmarried","Asian-Pac-Islander","Female",0,0,40,"United-States",,"<=50K"
"528",47,"Self-emp-not-inc",102359,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,30,"United-States",,"<=50K"
"533",27,"Private",466224,"Some-college",10,"Never-married","Sales","Not-in-family","Black","Male",0,0,40,"United-States",,"<=50K"
"534",34,"Self-emp-not-inc",111985,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States",,"<=50K"
"537",34,"Private",279015,"Some-college",10,"Never-married","Sales","Not-in-family","White","Male",0,0,65,"United-States",,"<=50K"
"543",54,"Private",175912,"HS-grad",9,"Widowed","Machine-op-inspct","Unmarried","White","Male",914,0,40,"United-States",,"<=50K"
"545",35,"Private",101387,"HS-grad",9,"Divorced","Sales","Not-in-family","White","Female",0,0,50,"United-States",,"<=50K"
"551",41,"Private",306495,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,"United-States",,"<=50K"
"552",51,"Private",249741,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",,"<=50K"
"554",36,"Private",49626,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",,"<=50K"
"556",55,"Private",320835,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States",,">50K"
"574",34,"Private",203408,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",7688,0,50,"United-States",,">50K"
"575",19,"Private",446219,"10th",6,"Never-married","Sales","Unmarried","Black","Female",0,0,40,"United-States",,"<=50K"
"577",48,"Private",207946,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,52,"United-States",,"<=50K"
"588",33,"Private",326104,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",,"<=50K"
"590",50,"Private",221336,"HS-grad",9,"Divorced","Adm-clerical","Other-relative","Asian-Pac-Islander","Female",0,0,40,"Philippines",,"<=50K"
"598",41,"Private",183203,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,50,"United-States",,"<=50K"
"599",60,"Private",76127,"Assoc-acdm",12,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,35,"United-States",,"<=50K"
"600",32,"Private",195891,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",0,0,55,"United-States",,"<=50K"
"601",56,"Federal-gov",162137,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","Amer-Indian-Eskimo","Male",0,0,40,"United-States",,">50K"
"605",31,"Private",209276,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","Other","Male",0,0,40,"United-States",,"<=50K"
"611",25,"Private",60726,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","Black","Male",0,0,30,"United-States",,"<=50K"
"618",31,"Private",124827,"Assoc-voc",11,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",,"<=50K"
"633",55,"Self-emp-inc",141807,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,60,"United-States",,"<=50K"
"635",52,"State-gov",71344,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",,">50K"
"641",42,"Local-gov",142756,"Bachelors",13,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,50,"United-States",,"<=50K"
"645",46,"Private",138626,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",,"<=50K"
"658",49,"Private",277434,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,50,"United-States",,"<=50K"
"660",48,"Private",108993,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,45,"United-States",,">50K"
"661",39,"Private",288551,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,40,"United-States",,">50K"
"664",40,"Private",163215,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Female",10520,0,40,"United-States",,">50K"
"668",37,"Self-emp-not-inc",243587,"Some-college",10,"Separated","Other-service","Own-child","White","Female",0,0,40,"Cuba",,"<=50K"
"670",51,"Private",237735,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",3103,0,40,"United-States",,"<=50K"
"672",38,"Private",284166,"Prof-school",15,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,50,"United-States",,">50K"
"674",23,"Private",287681,"7th-8th",4,"Never-married","Other-service","Not-in-family","White","Male",0,0,25,"Mexico",,"<=50K"
"677",33,"Private",91964,"Some-college",10,"Never-married","Adm-clerical","Unmarried","White","Male",0,0,40,"United-States",,"<=50K"
"679",64,"Private",91343,"Some-college",10,"Widowed","Tech-support","Unmarried","White","Female",0,0,40,"United-States",,"<=50K"
"680",26,"Local-gov",336969,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,28,"El-Salvador",,"<=50K"
"681",55,"Private",255364,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",,">50K"
"682",61,"Local-gov",167670,"Bachelors",13,"Married-spouse-absent","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States",,"<=50K"
"687",55,"State-gov",146326,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",7688,0,45,"United-States",,">50K"
"688",42,"Private",154374,"Bachelors",13,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,58,"United-States",,"<=50K"
"690",61,"Private",197286,"9th",5,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",,"<=50K"
"695",47,"Private",155489,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",7688,0,55,"United-States",,">50K"
"699",40,"State-gov",229364,"Masters",14,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,45,"United-States",,"<=50K"
"702",56,"Federal-gov",101338,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",,">50K"
"703",18,"Private",132652,"11th",7,"Never-married","Other-service","Own-child","White","Male",0,0,20,"United-States",,"<=50K"
"707",52,"Self-emp-not-inc",64045,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",99999,0,45,"United-States",,">50K"
"713",39,"Private",185520,"Some-college",10,"Divorced","Exec-managerial","Not-in-family","White","Female",8614,0,40,"United-States",,">50K"
"714",24,"Private",265567,"11th",7,"Never-married","Craft-repair","Own-child","White","Male",0,0,35,"United-States",,"<=50K"
"720",40,"Local-gov",50442,"Some-college",10,"Never-married","Adm-clerical","Unmarried","Amer-Indian-Eskimo","Female",2977,0,35,"United-States",,"<=50K"
"721",34,"Private",89644,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,55,"United-States",,"<=50K"
"722",19,"Private",275889,"11th",7,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"Mexico",,"<=50K"
"723",26,"Private",231638,"HS-grad",9,"Never-married","Exec-managerial","Own-child","White","Female",0,0,40,"United-States",,"<=50K"
"724",45,"Local-gov",224474,"Bachelors",13,"Divorced","Prof-specialty","Unmarried","White","Female",4934,0,50,"United-States",,"<=50K"
"725",28,"Private",355259,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States",,"<=50K"
"728",19,"Private",87653,"Some-college",10,"Never-married","Other-service","Own-child","White","Female",0,0,25,"United-States",,"<=50K"
"733",49,"Self-emp-inc",109705,"Some-college",10,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,32,"United-States",,"<=50K"
"742",42,"Private",358677,"HS-grad",9,"Divorced","Other-service","Unmarried","Black","Male",0,0,35,"United-States",,"<=50K"
"744",43,"Private",128170,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",7688,0,40,"United-States",,">50K"
"746",57,"Private",296152,"Some-college",10,"Divorced","Exec-managerial","Other-relative","White","Female",594,0,10,"United-States",,"<=50K"
"749",20,"Private",190231,"9th",5,"Never-married","Machine-op-inspct","Own-child","White","Female",0,0,11,"Nicaragua",,"<=50K"
"754",80,"Self-emp-not-inc",184335,"7th-8th",4,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,30,"United-States",,"<=50K"
"758",40,"Private",225978,"Some-college",10,"Separated","Exec-managerial","Not-in-family","Black","Male",0,0,40,"United-States",,"<=50K"
"765",34,"Private",171159,"Some-college",10,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,30,"United-States",,"<=50K"
"767",41,"Private",443508,"Bachelors",13,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,48,"Canada",,"<=50K"
"769",22,"Local-gov",238831,"Some-college",10,"Never-married","Protective-serv","Own-child","White","Male",0,0,40,"United-States",,"<=50K"
"773",31,"Private",300687,"HS-grad",9,"Never-married","Other-service","Not-in-family","Black","Male",0,0,40,"United-States",,"<=50K"
"776",26,"Private",188767,"Bachelors",13,"Never-married","Sales","Own-child","White","Male",0,0,40,"United-States",,"<=50K"
"779",40,"Private",174395,"HS-grad",9,"Divorced","Other-service","Not-in-family","White","Male",0,0,60,"Greece",,"<=50K"
"788",27,"State-gov",194773,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,50,"Germany",,"<=50K"
"790",64,"Private",258006,"Some-college",10,"Widowed","Adm-clerical","Not-in-family","White","Female",0,0,40,"Cuba",,"<=50K"
"791",55,"Private",92215,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States",,"<=50K"
"797",26,"Private",34402,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",0,0,45,"United-States",,"<=50K"
"801",17,"Private",295488,"11th",7,"Never-married","Other-service","Own-child","Black","Female",0,0,25,"United-States",,"<=50K"
"802",35,"Private",190895,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,"United-States",,">50K"
"806",47,"State-gov",188386,"Masters",14,"Separated","Prof-specialty","Not-in-family","White","Male",0,0,38,"United-States",,"<=50K"
